id,name,kind,material,team,subtype,facing,edge,variant,note
0,terrain.grass,terrain,grass,,,,15,0,
1,terrain.grass,terrain,grass,,,,15,1,sparse tufts
2,terrain.grass,terrain,grass,,,,15,2,flowers
3,terrain.water,terrain,water,,,,6,1,2x2 pond nw; same mask as lake set
4,terrain.water,terrain,water,,,,12,1,2x2 pond ne; same mask as lake set
5,overlay.mountain,overlay,mountain,,mountain,,,0,
6,structure.machine,structure,,neutral,machine,,,0,UNVERIFIED gray tracked machine - rename once identified
7,overlay.lamp,overlay,,,lamp,,,0,UNVERIFIED curved pole with head - lamp or crane hook
8,structure.city.neutral,structure,,neutral,city,,,0,low houses cluster
9,structure.hq.neutral,structure,,neutral,hq,,,0,headquarters with garage doors
10,structure.apartment.neutral,structure,,neutral,apartment,,,0,tall block; many windows
11,structure.factory.neutral,structure,,neutral,factory,,,0,sawtooth roof
12,structure.port.neutral,structure,,neutral,port,,,0,dockside crane
13,structure.airport.neutral,structure,,neutral,airport,,,0,hangar with antenna
14,structure.silo.neutral,structure,,neutral,silo,,,0,UNVERIFIED rocket/missile pad
15,structure.barracks.neutral,structure,,neutral,barracks,,,0,walled yard with vehicle
16,structure.flag.neutral,structure,,neutral,flag,,,0,flag frame 0
17,structure.flag.neutral,structure,,neutral,flag,,,1,flag frame 1
18,terrain.water,terrain,water,,,,6,0,lake 9-slice nw
19,terrain.water,terrain,water,,,,14,0,lake 9-slice n
20,terrain.water,terrain,water,,,,12,0,lake 9-slice ne
21,terrain.water,terrain,water,,,,3,1,2x2 pond sw; same mask as lake set
22,terrain.water,terrain,water,,,,9,1,2x2 pond se; same mask as lake set
23,structure.turret,structure,,neutral,turret,,,0,UNVERIFIED four radial gray barrels - anti-air or obstacle
24,structure.machine,structure,,neutral,machine,,,1,UNVERIFIED gray machine - rename once identified
25,structure.fence,structure,,neutral,fence,,,0,UNVERIFIED gray panel with mesh - fence or gate
26,structure.city.green,structure,,green,city,,,0,low houses cluster
27,structure.hq.green,structure,,green,hq,,,0,headquarters with garage doors
28,structure.apartment.green,structure,,green,apartment,,,0,tall block; many windows
29,structure.factory.green,structure,,green,factory,,,0,sawtooth roof
30,structure.port.green,structure,,green,port,,,0,dockside crane
31,structure.airport.green,structure,,green,airport,,,0,hangar with antenna
32,structure.silo.green,structure,,green,silo,,,0,UNVERIFIED rocket/missile pad
33,structure.barracks.green,structure,,green,barracks,,,0,walled yard with vehicle
34,structure.flag.green,structure,,green,flag,,,0,flag frame 0
35,structure.flag.green,structure,,green,flag,,,1,flag frame 1
36,terrain.water,terrain,water,,,,7,0,lake 9-slice w
37,terrain.water,terrain,water,,,,15,0,lake 9-slice center
38,terrain.water,terrain,water,,,,13,0,lake 9-slice e
39,terrain.water.channel,terrain,water,,,n,,0,channel north end; land nubs at S corners
40,overlay.path.arrow,overlay,path,,arrow,n,4,0,edge = side the path enters from
41,overlay.path.arrow,overlay,path,,arrow,w,2,0,edge = side the path enters from
42,overlay.path.line,overlay,path,,line,,10,0,
